Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),Most Recent SPL Date (YYYY/MM/DD),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed Link,DailyMed PDF Link,SET ID
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,17534,"Butalbital, Aspirin, and Caffeine","BUTALBITAL, ASPIRIN, AND CAFFEINE",20190913,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,,ACTAVIS PHARMA INC,2003/10/06-,0591-3219,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,ASPIRIN; BUTALBITAL; CAFFEINE,ASPIRIN; BUTALBITAL; CAFFEINE,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/e31096f4-162f-44bd-a211-9c2873acfe54/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e31096f4-162f-44bd-a211-9c2873acfe54,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e31096f4-162f-44bd-a211-9c2873acfe54,e31096f4-162f-44bd-a211-9c2873acfe54
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,17534,"Butalbital, Aspirin, and Caffeine","BUTALBITAL, ASPIRIN, AND CAFFEINE",20131223,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,,AIDAREX PHARMACEUTICALS LLC,1976/05/04-,33261-922,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,ASPIRIN; BUTALBITAL; CAFFEINE,ASPIRIN; BUTALBITAL; CAFFEINE,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/166e131d-9c1a-461f-bf33-e45d4ec36ff2/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=166e131d-9c1a-461f-bf33-e45d4ec36ff2,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=166e131d-9c1a-461f-bf33-e45d4ec36ff2,166e131d-9c1a-461f-bf33-e45d4ec36ff2
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,17534,"BUTALBITAL, ASPIRIN, AND CAFFEINE","BUTALBITAL, ASPIRIN, AND CAFFEINE",20100922,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,,STAT RX USA LLC,1976/05/04-,16590-911,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,ASPIRIN; BUTALBITAL; CAFFEINE,ASPIRIN; BUTALBITAL; CAFFEINE,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c69954d9-9b30-484f-8e4a-5b1fc7dd197d/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c69954d9-9b30-484f-8e4a-5b1fc7dd197d,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=c69954d9-9b30-484f-8e4a-5b1fc7dd197d,c69954d9-9b30-484f-8e4a-5b1fc7dd197d
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,19429,"Butalbital, Aspirin, Caffeine and Codeine Phosphate","BUTALBITAL, ASPIRIN, CAFFEINE AND CODEINE PHOSPHATE",20191017,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Nonsteroidal Anti-inflammatory Drug; Opioid Agonist; Platelet Aggregation Inhibitor,1990,ACTAVIS PHARMA INC,2006/10/26-,0591-3546,3G6A5W338E; GSL05Y1MN6; KHS0AZ4JVK; R16CO5Y76E,ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE ANHYDROUS,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/ad135f46-5490-40e9-9add-1a953c6d6a9d/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ad135f46-5490-40e9-9add-1a953c6d6a9d,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=ad135f46-5490-40e9-9add-1a953c6d6a9d,ad135f46-5490-40e9-9add-1a953c6d6a9d
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,20998,Celecoxib,CELECOXIB,20191227,Nonsteroidal Anti-inflammatory Drug,1998,MEDSOURCE PHARMACEUTICALS,2014/12/10-,45865-840,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/2087ead6-69b3-5f5a-e054-00144ff8d46c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2087ead6-69b3-5f5a-e054-00144ff8d46c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=2087ead6-69b3-5f5a-e054-00144ff8d46c,2087ead6-69b3-5f5a-e054-00144ff8d46c
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,20998,Celecoxib,CELECOXIB,20190626,Nonsteroidal Anti-inflammatory Drug,1998,GREENSTONE LLC,2014/12/10-,59762-1515; 59762-1516; 59762-1517; 59762-1518,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/12c2b345-bf1c-4661-85a8-257c4af2bda5/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=12c2b345-bf1c-4661-85a8-257c4af2bda5,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=12c2b345-bf1c-4661-85a8-257c4af2bda5,12c2b345-bf1c-4661-85a8-257c4af2bda5
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,20998,Celecoxib,CELECOXIB,20170701,Nonsteroidal Anti-inflammatory Drug,1998,UNIT DOSE SERVICES,2014/12/10-,50436-7701; 50436-7901,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/fbe2ac60-fc15-471a-b616-7a378a549f1c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fbe2ac60-fc15-471a-b616-7a378a549f1c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=fbe2ac60-fc15-471a-b616-7a378a549f1c,fbe2ac60-fc15-471a-b616-7a378a549f1c
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,20998,Celecoxib,CELECOXIB,20160609,Nonsteroidal Anti-inflammatory Drug,1998,APHENA PHARMA SOLUTIONS TENNESSEE LLC,2014/12/10-,43353-036,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/fcedbcb7-4a57-4fab-83ab-350ed020f438/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fcedbcb7-4a57-4fab-83ab-350ed020f438,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=fcedbcb7-4a57-4fab-83ab-350ed020f438,fcedbcb7-4a57-4fab-83ab-350ed020f438
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,20998,Celecoxib,CELECOXIB,20160212,Nonsteroidal Anti-inflammatory Drug,1998,BLENHEIM PHARMACAL INC,2016/02/12-,10544-967,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/2b998f03-ab77-0cb6-e054-00144ff8d46c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2b998f03-ab77-0cb6-e054-00144ff8d46c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=2b998f03-ab77-0cb6-e054-00144ff8d46c,2b998f03-ab77-0cb6-e054-00144ff8d46c
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,20998,CELECOXIB,CELECOXIB,20151026,Nonsteroidal Anti-inflammatory Drug,,DIRECTRX,2015/01/01-,61919-168,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1aae31e7-eb98-4535-9e09-286ee94d2ed6/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1aae31e7-eb98-4535-9e09-286ee94d2ed6,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1aae31e7-eb98-4535-9e09-286ee94d2ed6,1aae31e7-eb98-4535-9e09-286ee94d2ed6
