	O
Cardiovascular	O
Risk	B-D012306
NSAIDs	O
may	O
cause	O
an	O
increased	O
risk	O
of	O
serious	O
cardiovascular	O
thrombotic	O
events,	O
myocardial	O
infarction,	O
and	O
stroke,	O
which	O
can	O
be	O
fatal.	O
This	O
risk	O
may	O
increase	O
with	O
duration	O
of	O
use.	O
Patients	B-D010361
with	O
cardiovascular	O
disease	O
or	O
risk	O
factors	O
for	O
cardiovascular	O
disease	O
may	O
be	O
at	O
greater	O
risk	O
(see	O
).	O
•	O
WARNINGS	O
Diclofenac	B-D004008
sodium	O
delayed-release	O
tablets	O
are	O
contraindicated	O
for	O
the	O
treatment	O
of	O
peri-operative	O
pain	O
in	O
the	O
setting	O
of	O
coronary	O
artery	O
bypass	O
graft	O
(CABG)	O
surgery	O
(see	O
).	O
•	O
WARNINGS	O
Gastrointestinal	O
Risk	B-D012306
NSAIDs	O
cause	O
an	O
increased	O
risk	O
of	O
serious	O
gastrointestinal	O
adverse	O
events	O
including	O
inflammation,	O
bleeding,	O
ulceration,	O
and	O
perforation	O
of	O
the	O
stomach	O
or	O
intestines,	O
which	O
can	O
be	O
fatal.	O
These	O
events	O
can	O
occur	O
at	O
any	O
time	O
during	O
use	O
and	O
without	O
warning	O
symptoms.	O
Elderly	O
patients	O
are	O
at	O
greater	O
risk	O
for	O
serious	O
gastrointestinal	O
events	O
(see	O
).	O
•	O
WARNINGS	O
ADVERSE	O
REACTIONS	O
In	O
patients	O
taking	O
diclofenac	O
sodium	O
delayed-release	O
tablets,	O
or	O
other	O
NSAIDs,	O
the	O
most	O
frequently	O
reported	O
adverse	O
experiences	O
occurring	O
in	O
approximately	O
1%	O
to	O
10%	O
of	O
patients	O
are:	O
Gastrointestinal	O
experiences	O
including:	O
abdominal	O
pain,	O
constipation,	O
diarrhea,	O
dyspepsia,	O
flatulence,	O
gross	O
bleeding/perforation,	O
heartburn,	O
nausea,	O
GI	O
ulcers	O
(gastric/duodenal)	O
and	O
vomiting.	O
Abnormal	O
renal	O
function,	O
anemia,	O
dizziness,	O
edema,	O
elevated	O
liver	O
enzymes,	O
headaches,	O
increased	O
bleeding	O
time,	O
pruritus,	O
rashes	O
and	O
tinnitus.	O
Additional	O
adverse	O
experiences	O
reported	O
occasionally	O
include:	O
Body	O
as	O
a	O
Whole	O
fever,	O
infection,	O
sepsis	O
Cardiovascular	B-D002319
System	I-D002319
congestive	O
heart	O
failure,	O
hypertension,	O
tachycardia,	O
syncope	O
Digestive	B-D004064
System	I-D004064
dry	O
mouth,	O
esophagitis,	O
gastric/peptic	O
ulcers,	O
gastritis,	O
gastrointestinal	O
bleeding,	O
glossitis,	O
hematemesis,	O
hepatitis,	O
jaundice	O
Hemic	O
and	O
Lymphatic	B-D008208
System	I-D008208
ecchymosis,	O
eosinophilia,	O
leukopenia,	O
melena,	O
purpura,	O
rectal	O
bleeding,	O
stomatitis,	O
thrombocytopenia	O
Metabolic	O
and	O
Nutritional	O
weight	O
changes	O
Nervous	B-D009420
System	I-D009420
anxiety,	O
asthenia,	O
confusion,	O
depression,	O
dream	O
abnormalities,	O
drowsiness,	O
insomnia,	O
malaise,	O
nervousness,	O
paresthesia,	O
somnolence,	O
tremors,	O
vertigo	O
Respiratory	B-D012137
System	I-D012137
asthma,	O
dyspnea	O
Skin	B-D012867
and	O
Appendages	O
alopecia,	O
photosensitivity,	O
sweating	O
increased	O
Special	O
Senses	O
