Some	O
adverse	O
reactions	O
occurred	O
in	O
higher	O
percentages	O
of	O
Patients	B-D010361

The	O
adverse	O
reactions	O
for	O
which	O
these	O
differences	O
in	O
Patients	B-D010361

Because	O
these	O
reactions	O
are	O
reported	O
voluntarily	O
from	O
a	O
Population	B-D011153

This	O
Risk	B-D012306

Diclofenac	B-D004008
Sodium	B-D012964

Gastrointestinal	O
Bleeding,	O
Ulcer	B-D014456
ation,	O
and	O
Perforation	O
NSAID	O
s	O
cause	O
an	O
increased	O
Risk	B-D012306

These	O
events	O
can	O
occur	O
at	O
any	O
Time	B-D013995

Elderly	O
Patients	B-D010361

WARNING:	O
Risk	B-D012306

Nonsteroidal	O
anti-inflammatory	O
drugs	O
(NSAIDs)	O
cause	O
an	O
increased	O
Risk	B-D012306

This	O
Risk	B-D012306

(5.1)	O
Diclofenac	B-D004008
Sodium	B-D012964

(4,	O
5.1)	O
NSAIDs,	O
cause	O
an	O
increased	O
Risk	B-D012306

These	O
events	O
can	O
occur	O
at	O
any	O
Time	B-D013995

Elderly	O
Patients	B-D010361

(5.2)	O
5	O
WARNINGS	O
AND	O
PRECAUTIONS	O
Hepatotoxicity:	O
Inform	O
Patients	B-D010361

Discontinue	O
if	O
abnormal	O
Liver	B-D008099

Monitor	O
Blood	B-D001794
Pressure	I-D001794

Avoid	O
use	O
of	O
Diclofenac	B-D004008
Sodium	B-D012964

Monitor	O
Patients	B-D010361

(5.14)	O
Eye	B-D005123
Contact:	O
Avoid	O
contact	O
of	O
Diclofenac	B-D004008

(5.15)	O
Oral	O
Nonsteroidal	O
Anti-inflammatory	O
Drugs:	O
Avoid	O
concurrent	O
use	O
with	O
oral	O
NSAIDs	O

(5.16)	O
5.1	O
Cardiovascular	O
Thrombotic	O
Events	O
Clinical	B-D016430
Trial	I-D016430

Based	O
on	O
available	O
data,	O
it	O
is	O
unclear	O
that	O
the	O
Risk	B-D012306

The	O
relative	O
increase	O
in	O
serious	O
CV	O
thrombotic	O
events	O
over	O
baseline	O
conferred	O
by	O
NSAID	O
use	O
appears	O
to	O
be	O
similar	O
in	O
those	O
with	O
and	O
without	O
known	O
CV	O
Disease	B-D004194

However,	O
Patients	B-D010361

Some	O
Observation	B-D019370

The	O
increase	O
in	O
CV	O
thrombotic	O
Risk	B-D012306

To	O
minimize	O
the	O
potential	O
Risk	B-D012306

Physicians	B-D010820
and	O
Patients	B-D010361

Patients	B-D010361
should	O
be	O
informed	O
about	O
the	O
symptoms	O
of	O
serious	O
CV	O
events	O
and	O
the	O
steps	O
to	O
take	O
if	O
they	O
occur	O

There	O
is	O
no	O
consistent	O
evidence	O
that	O
concurrent	O
use	O
of	O
Aspirin	B-D001241

The	O
concurrent	O
use	O
of	O
Aspirin	B-D001241

Status	O
Post	O
Coronary	B-D001026
Artery	I-D001026
Bypass	I-D001026
Graft	O
(CABG)	O
Surgery	O
Two	O
large,	O
controlled,	O
Clinical	B-D016430
Trial	I-D016430

Post-MI	O
Patients	B-D010361
Observation	B-D019370
al	O
studies	O
conducted	O
in	O
the	O
Danish	O
National	O
Registry	O
have	O
demonstrated	O
that	O
Patients	B-D010361

In	O
this	O
same	O
cohort,	O
the	O
Incidence	B-D015994

Although	O
the	O
absolute	O
rate	O
of	O
Death	B-D003643

Avoid	O
the	O
use	O
of	O
Diclofenac	B-D004008

If	O
Diclofenac	B-D004008

5.2	O
Gastrointestinal	O
Bleeding,	O
Ulcer	B-D014456
ation	O
and	O
Perforation	O
NSAIDs,	O
including	O
Diclofenac	B-D004008

These	O
serious	O
adverse	O
events	O
can	O
occur	O
at	O
any	O
Time	B-D013995

Only	O
one	O
in	O
five	O
Patients	B-D010361

Upper	O
GI	O
Ulcer	B-D014456

However,	O
even	O
short-term	O
NSAID	O
therapy	O
is	O
not	O
without	O
Risk	B-D012306

Risk	B-D012307
Factors	I-D012307
for	O
GI	O
Bleeding,	O
Ulcer	B-D014456
ation,	O
and	O
Perforation	O
Patients	B-D010361
with	O
